iter	Logloss
0	0.6908282388
1	0.6893300616
2	0.6877277826
3	0.685562581
4	0.6830409414
5	0.6808768721
6	0.6789166185
7	0.6769964941
8	0.6755001095
9	0.6741591616
10	0.6726110206
11	0.6716702641
12	0.6704332092
13	0.669457893
14	0.6686145894
15	0.6675209377
16	0.6662406457
17	0.6650466007
18	0.6638307653
19	0.6627978393
20	0.661631657
21	0.6606527587
22	0.6595717597
23	0.6587521877
24	0.6583219415
25	0.6576012918
26	0.6567112121
27	0.6562477009
28	0.6552963468
29	0.6547433454
30	0.6541064595
31	0.6528996396
32	0.6525478191
33	0.6514467326
34	0.6509000968
35	0.6504709708
36	0.6500738082
37	0.6495843109
38	0.6493518862
39	0.6486375769
40	0.6480166735
41	0.6476947464
42	0.6472747775
43	0.6469559209
44	0.6465486499
45	0.6463510323
46	0.6459282502
47	0.6457662485
48	0.6453870718
49	0.6450333879
50	0.6444286157
51	0.643910641
52	0.6434522853
53	0.6430885242
54	0.6426871506
55	0.6422346562
56	0.6417037735
57	0.6411644331
58	0.640820258
59	0.6407047021
60	0.6401926418
61	0.6397861782
62	0.6391287952
63	0.638810901
64	0.6386325869
65	0.6383469578
66	0.6379331913
67	0.6377050581
68	0.6375934287
69	0.6373545869
70	0.6370849596
71	0.6367822412
72	0.6365648826
73	0.6363628318
74	0.6362674777
75	0.6359911383
76	0.6357496732
77	0.6355260659
78	0.6354197898
79	0.6352858153
80	0.6351009285
81	0.6347033482
82	0.6341860377
83	0.6339732885
84	0.6338397661
85	0.6335838718
86	0.6333275207
87	0.6331237449
88	0.633081638
89	0.6327849308
90	0.6327370582
91	0.6325304555
92	0.6321658746
93	0.6315812141
94	0.6305538859
95	0.630307275
96	0.6301263028
97	0.6293204732
98	0.6291432243
99	0.6288650721
100	0.6284416284
101	0.6281843966
102	0.6279909732
103	0.6276783717
104	0.6275675284
105	0.6273058068
106	0.6272844336
107	0.6270474912
108	0.6269520303
109	0.6266276378
110	0.6264104462
111	0.6262590201
112	0.6261462964
113	0.6254367513
114	0.6252543273
115	0.6251112233
116	0.6249560461
117	0.6248888789
118	0.6247841537
119	0.6246144203
120	0.6244453143
121	0.6242013725
122	0.6238926406
123	0.6236724461
124	0.6231189039
125	0.6227356289
126	0.6224742594
127	0.6223359108
128	0.6221923634
129	0.6218817975
130	0.6215581391
131	0.6211060858
132	0.62093135
133	0.6208055314
134	0.6207424094
135	0.6206194744
136	0.6205607504
137	0.620507393
138	0.6199770435
139	0.6197765986
140	0.6192042513
141	0.6188950189
142	0.6183446489
143	0.6179730821
144	0.6178791873
145	0.6174400983
146	0.6171828563
147	0.6170320949
148	0.6167509485
149	0.6166593293
150	0.6162667538
151	0.6160182228
152	0.6160117614
153	0.6158519051
154	0.6157209145
155	0.6155218619
156	0.6155185283
157	0.6149894658
158	0.6144620794
159	0.6143891022
160	0.6142588915
161	0.6142322659
162	0.6139717825
163	0.6137286904
164	0.6136936807
165	0.6135243933
166	0.613201392
167	0.6131021108
168	0.6128646899
169	0.6127626238
170	0.612564913
171	0.6120236644
172	0.611799466
173	0.6115061089
174	0.6112119968
175	0.6108458863
176	0.6108417018
177	0.6107578536
178	0.6106216639
179	0.6104800375
180	0.6102774627
181	0.6101610266
182	0.6101264336
183	0.6100676928
184	0.6100676634
185	0.6100291529
186	0.6100291262
187	0.6095999078
188	0.609511085
189	0.609365443
190	0.6091623175
191	0.6086820714
192	0.6084297322
193	0.6080832854
194	0.6078529042
195	0.6075547143
196	0.6075019121
197	0.6074232405
198	0.6072657871
199	0.6071697663
200	0.6071555367
201	0.6071299609
202	0.6066048935
203	0.6064903912
204	0.6062818533
205	0.60613545
206	0.6060405616
207	0.6058528292
208	0.6056904209
209	0.6052757091
210	0.6050593568
211	0.6046863242
212	0.6045745016
213	0.6041581505
214	0.6041312223
215	0.6037374683
216	0.603718378
217	0.6035297945
218	0.6033138571
219	0.6033036286
220	0.603043315
221	0.6026887321
222	0.6026117841
223	0.6025795575
224	0.6024813183
225	0.6023138436
226	0.6022775766
227	0.6020903096
228	0.6018655592
229	0.6015242604
230	0.6012566209
231	0.6006139449
232	0.6005380262
233	0.6004775313
234	0.6003344198
235	0.60031552
236	0.6002950731
237	0.6000544808
238	0.5998839255
239	0.5995795102
240	0.5995595751
241	0.599419173
242	0.5993208325
243	0.5988946642
244	0.5988936775
245	0.598758028
246	0.5987337997
247	0.5986249567
248	0.5984914618
249	0.5984589878
250	0.5984375914
251	0.5982902024
252	0.5980709509
253	0.5979732255
254	0.5975314821
255	0.5973745366
256	0.5972708911
257	0.5970541737
258	0.5968314665
259	0.5967089544
260	0.5966386138
261	0.5965572452
262	0.5962590122
263	0.5960911958
264	0.5960860179
265	0.5958570014
266	0.5958471441
267	0.5957768418
268	0.5956371634
269	0.5955441104
270	0.5954785862
271	0.5954614655
272	0.5952935567
273	0.5952935529
274	0.5949731826
275	0.5948942158
276	0.5946343198
277	0.5945450173
278	0.5944247005
279	0.5943892487
280	0.594282904
281	0.5942075254
282	0.5937938325
283	0.5937492546
284	0.5937416174
285	0.5936165284
286	0.5935682119
287	0.5934833939
288	0.5932967347
289	0.5931504531
290	0.5928126043
291	0.5926022911
292	0.5924788211
293	0.5924756665
294	0.5920800238
295	0.5916795668
296	0.5916216816
297	0.5914297575
298	0.5912882879
299	0.5912290984
300	0.5912074043
301	0.5909091074
302	0.5908093692
303	0.5907684903
304	0.59076482
305	0.5907271303
306	0.59059821
307	0.5905946754
308	0.5902914682
309	0.590261283
310	0.5901792858
311	0.5900044538
312	0.5898814586
313	0.5898416298
314	0.5898388072
315	0.5896887342
316	0.5893879327
317	0.5892827028
318	0.5892769089
319	0.5892607281
320	0.5890961443
321	0.5889438
322	0.5887975506
323	0.5886355661
324	0.588504247
325	0.5882669733
326	0.5882310783
327	0.5882305436
328	0.5880278972
329	0.5877142922
330	0.5876353959
331	0.5874570427
332	0.5872079337
333	0.5869884006
334	0.5869002559
335	0.5868443359
336	0.5867941783
337	0.5865206408
338	0.5863106239
339	0.5861831708
340	0.5861053237
341	0.5858493627
342	0.5857906377
343	0.5857856995
344	0.5856472911
345	0.5854383153
346	0.5852466864
347	0.5851147174
348	0.5847537214
349	0.58458387
350	0.584311119
351	0.5839963043
352	0.5839939263
353	0.5838662334
354	0.5838651837
355	0.583651774
356	0.5832614807
357	0.5832610604
358	0.583112636
359	0.5830700419
360	0.5827251001
361	0.5824229597
362	0.582287707
363	0.582211386
364	0.5821028581
365	0.5819539365
366	0.5819042738
367	0.581854667
368	0.5817204132
369	0.5815653676
370	0.5814369561
371	0.5814242528
372	0.581172501
373	0.5810025452
374	0.5809980209
375	0.5809882903
376	0.5809803404
377	0.5806574535
378	0.5806518338
379	0.5806514894
380	0.5806514359
381	0.5806116185
382	0.5801934948
383	0.5801538032
384	0.5798467852
385	0.579562754
386	0.5795480421
387	0.5795052526
388	0.5794794264
389	0.5794275846
390	0.5794162936
391	0.5794117653
392	0.579377914
393	0.5793019007
394	0.5792988664
395	0.57905335
396	0.5789610206
397	0.5787202648
398	0.5787106279
399	0.5785001281
400	0.5782663729
401	0.5782030718
402	0.5779779052
403	0.5775697251
404	0.5773229297
405	0.5773086218
406	0.5769944313
407	0.5769919836
408	0.5767299433
409	0.5767251156
410	0.576337539
411	0.5762101341
412	0.5762089379
413	0.5760266598
414	0.5757768232
415	0.5757702975
416	0.5757678629
417	0.5756473613
418	0.5756128594
419	0.5755657487
420	0.5754552915
421	0.5754508794
422	0.5752305825
423	0.5752210742
424	0.5751751055
425	0.5751750219
426	0.5749970494
427	0.5749800492
428	0.5749768837
429	0.5749749509
430	0.5748716467
431	0.5747326159
432	0.5746429945
433	0.5745869489
434	0.5743572827
435	0.5743361829
436	0.5743347441
437	0.574333402
438	0.5741213493
439	0.5739060579
440	0.5736703197
441	0.5735598731
442	0.5732475454
443	0.5728723214
444	0.5727037009
445	0.5723299048
446	0.5722435103
447	0.5719518431
448	0.5719512003
449	0.5717323215
450	0.5716897373
451	0.5716545327
452	0.5715235208
453	0.571321298
454	0.5711895548
455	0.5709233906
456	0.5709223505
457	0.5707246374
458	0.5706883246
459	0.5705280119
460	0.5703847679
461	0.5700462239
462	0.570017278
463	0.570017034
464	0.5697541004
465	0.569753187
466	0.5694308505
467	0.5692911879
468	0.5691798461
469	0.569030454
470	0.5688693157
471	0.5687211496
472	0.5686076156
473	0.5686061591
474	0.5685766698
475	0.5685651474
476	0.5685643375
477	0.5685627459
478	0.5685308839
479	0.5682947924
480	0.5682944044
481	0.5682807622
482	0.5682393427
483	0.568213031
484	0.5682117077
485	0.5680120495
486	0.5677281633
487	0.5675052098
488	0.5675052098
489	0.5675051514
490	0.5673352808
491	0.5671910462
492	0.567185144
493	0.5669805776
494	0.5669007054
495	0.5666952924
496	0.5665042742
497	0.5664958997
498	0.5664882013
499	0.5663656579
500	0.5663609644
501	0.5661356159
502	0.5659635943
503	0.5658844632
504	0.5658833262
505	0.5658748059
506	0.5658701713
