iter	Passed	Remaining
0	101	101563
1	170	85071
2	228	75898
3	283	70512
4	371	73956
5	437	72416
6	500	71025
7	562	69793
8	628	69174
9	700	69366
10	780	70159
11	866	71369
12	935	71022
13	997	70251
14	1056	69374
15	1112	68444
16	1169	67634
17	1228	67006
18	1285	66362
19	1352	66266
20	1412	65855
21	1473	65510
22	1532	65099
23	1589	64642
24	1654	64542
25	1731	64851
26	1798	64803
27	1858	64524
28	1919	64260
29	1977	63943
30	2037	63684
31	2097	63439
32	2161	63348
33	2225	63226
34	2287	63055
35	2346	62822
36	2399	62446
37	2457	62225
38	2517	62027
39	2575	61802
40	2632	61576
41	2688	61325
42	2745	61106
43	2804	60924
44	2868	60873
45	2929	60750
46	2991	60664
47	3053	60557
48	3109	60349
49	3174	60322
50	3238	60257
51	3298	60133
52	3365	60132
53	3429	60088
54	3487	59921
55	3549	59830
56	3610	59729
57	3668	59576
58	3725	59417
59	3789	59370
60	3846	59216
61	3907	59123
62	3963	58949
63	4024	58861
64	4086	58787
65	4146	58677
66	4206	58577
67	4262	58420
68	4325	58367
69	4388	58306
70	4451	58243
71	4514	58184
72	4578	58141
73	4640	58064
74	4698	57949
75	4758	57855
76	4821	57791
77	4881	57702
78	4941	57605
79	5004	57552
80	5069	57516
81	5125	57384
82	5192	57367
83	5236	57105
84	5296	57018
85	5354	56902
86	5417	56852
87	5475	56744
88	5534	56654
89	5596	56581
90	5661	56550
91	5723	56483
92	5782	56394
93	5844	56329
94	5902	56232
95	5964	56163
96	6025	56093
97	6087	56033
98	6148	55959
99	6213	55925
100	6306	56131
101	6378	56158
102	6448	56155
103	6527	56237
104	6610	56343
105	6681	56349
106	6739	56243
107	6811	56255
108	6893	56347
109	6971	56408
110	7044	56422
111	7116	56424
112	7183	56387
113	7261	56437
114	7339	56485
115	7409	56466
116	7476	56424
117	7545	56401
118	7615	56380
119	7701	56476
120	7768	56431
121	7835	56388
122	7901	56338
123	7966	56277
124	8024	56169
125	8096	56164
126	8170	56166
127	8253	56224
128	8318	56168
129	8380	56081
130	8445	56026
131	8504	55923
132	8567	55848
133	8626	55748
134	8685	55649
135	8745	55560
136	8806	55473
137	8857	55325
138	8920	55255
139	8983	55183
140	9043	55092
141	9104	55014
142	9163	54917
143	9225	54839
144	9296	54820
145	9357	54732
146	9429	54717
147	9490	54632
148	9550	54546
149	9611	54463
150	9670	54374
